
 discriminant      quadratic character

 -79  o++-++--++++-+--+-++++++-++----++---+-+-+-+-+++--++++--+------+-++-+----++--+--
 -71  o++++++-+++-+--++-+++---++-+-++-+---+++-+--+-+--+++---+--++-+---+------
 -68  o+o+o-o+o+o+o+o-ooo-o+o+o+o+o-o+o+o-o-o+o-o-o-o-o+ooo+o-o-o-o-o+o-o-
 -67  o+--+-+--++---++++-+-++++++--+---+-+++-++------+-+----+++--++-+-++-
 -59  o+-+++-+-+--+--+++-++++--+++++-----++----+---++-++-+-+---+-
 -56  o+o+o+ooo+o-o+o+o-o+ooo+o+o+o-o-o-ooo-o+o-o-o+o-ooo-o-o-
 -55  o++-+o-+++oo-++o+++-o-o--o+-+-o++o+o+---o--+oo---+o-+--
 -52  o+o-o-o+o+o+ooo+o+o+o-o-o+o-o+o+o-o-o-ooo-o-o-o+o+o-
 -51  o+-o++o--o-+o++o+oo++o-+o+-o-+o--oo-o--o-+o++o--o+-
 -47  o++++-++++--+-+-+++--+--++-++---+-+-++----+----
 -43  o+--+-+--+++-+++++---+-+++-----+---++-+-++-
 -40  o+o-ooo+o+o+o+ooo-o+o-o+ooo-o-o-o-ooo+o-
 -39  o++o++o-+o++oo-o+-o-+o+-o+oo--o-+o--o--
 -35  o+-++o-o-+o+++oo++--oo---o-+o+o--+-
 -31  o++-++-++++---+-+-+++----+--+--
 -24  o+ooo+o+ooo+o-ooo-o-ooo-
 -23  o++++-+-++--++--+-+----
 -20  o+o+ooo+o+o-o-ooo-o-
 -19  o+--++++-+-+----++-
 -15  o++o+oo-+oo-o--
 -11  o+-+++---+-
  -8  o+o+o-o-
  -7  o++-+--
  -4  o+o-
  -3  o+-
   0  
   1  +
   5  o+--+
   8  o+o-o-o+
  12  o+ooo-o-ooo+
  13  o+-++----++-+
  17  o++-+---++---+-++
  21  o+-o++oo-o--o-oo++o-+
  24  o+ooo+o-ooo-o-ooo-o+ooo+
  28  o+o+o-ooo+o-o-o-o-o+ooo-o+o+
  29  o+--++++-+---+--+---+-++++--+
  33  o++o+-o-+o-oo--o++o--oo-o+-o-+o++
  37  o+-++--+-++++---+----+---++++-+--++-+
  40  o+o+ooo-o+o-o+ooo-o-o-o-ooo+o-o+o-ooo+o+
  41  o++-++--+++-----+-+-++-+-+-----+++--++-++
  44  o+o-o+o+o+ooo-o-o-o+o-o-o+o-o-o-ooo+o+o+o-o+
  53  o+--+-++-+++-+-+++------++--++------+++-+-+++-++-+--+
  56  o+o-o+ooo+o+o+o-o-o-ooo-o+o-o-o+o-ooo-o-o-o+o+o+ooo+o-o+
  57  o++o+-o++o--o-+o+-oo-o--o+-o++o-+o--o-oo-+o+-o--o++o-+o++
  60  o+ooooo+ooo+o-ooo+o-ooo-ooooo-o-ooooo-ooo-o+ooo-o+ooo+ooooo+
  61  o+-+++---+--+++++--++-+--+-+------+-+--+-++--+++++--+---+++-+
  65  o++-+o-+++o--o+o+-+-o----oo-++o-++-o++-oo----o-+-+o+o--o+++-o+-++
  69  o+-o++o--o-+o++o++o-+o-oo+-o--o+-o--o-+o--o-+oo-o+-o++o++o+-o--o++o-+
  73  o++++-+-++--+---+-++---+++-+----+--++++--+----+-+++---++-+---+--++-+-++++
  76  o+o+o+o-o+o-o-o+o+ooo-o-o+o+o-o+o-o-o-o-o-o-o+o-o+o+o-o-ooo+o+o-o-o+o-o+o+o+
  77  o+--+-+o-++o-+o+++-+-oo+++--o----o-o++--++o-o----o--+++oo-+-+++o+-o++-o+-+--+

